seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
2,1,67.67103973653234,67.67103973653234,100.0,5,12,51,20,4,1,1,2,True
2,2,63.47658210670654,63.47658210670654,100.0,6,12,41,20,5,1,0,1,True
2,3,63.871259039913944,63.871259039913944,100.0,6,12,49,20,4,1,0,2,False
2,4,73.22555307678576,73.22555307678576,100.0,4,10,46,20,4,0,1,1,False
2,5,54.525630851136455,54.207601489490735,99.41673419145944,5,10,37,20,4,0,1,2,True
2,6,67.58500864374163,67.58500864374163,100.0,5,12,47,20,5,0,2,2,False
2,7,67.77442246122612,67.77442246122612,100.0,5,12,51,20,4,1,0,1,False
2,8,66.70940719486417,64.3516293387244,96.46559914817936,3,12,52,20,3,1,0,0,False
2,9,65.89500991395523,65.89500991395523,100.0,5,10,37,20,5,1,1,1,False
3,0,73.23344936881591,69.23754857000704,94.54361247046435,5,10,38,20,4,1,0,1,True
3,1,68.28269068828253,65.88109331253148,96.48286066125515,5,12,48,20,4,1,1,2,True
3,2,68.65230567771799,67.27187884148813,97.98924912630008,6,12,50,20,5,0,1,2,False
3,3,61.59311804373732,61.59311804373732,100.0,5,12,49,20,4,1,0,1,False
3,4,72.46522884346022,69.01142919293542,95.23385255846536,5,10,36,20,5,1,0,0,False
3,5,67.65836730747932,67.65836730747932,100.0,5,10,41,20,4,1,1,2,False
3,6,68.60038198073624,62.03982789737894,90.43656333400654,6,12,40,20,7,0,1,0,True
3,7,77.84698978361773,77.84698978361773,100.0,5,12,49,20,5,1,0,0,False
3,8,73.41490479098881,73.41490479098881,100.0,5,12,45,20,4,1,1,2,True
3,9,82.20355694506055,82.20355694506055,100.0,5,10,40,20,4,1,0,1,False
4,0,71.06482421679567,69.55628943731196,97.877241242613,6,10,41,20,5,1,0,1,False
4,1,77.84385631823665,77.84385631823665,100.0,6,12,50,20,4,1,0,2,False
4,2,78.80551455079785,78.80551455079785,100.0,5,12,42,20,5,1,0,0,True
4,3,73.2504722327773,73.06327326123751,99.7444399116706,6,12,42,20,5,1,0,1,False
4,4,78.64843952218902,78.64843952218902,100.0,5,10,41,20,5,0,2,2,False
4,5,59.68254960500212,56.4211045603342,94.53534564750804,6,10,37,20,6,1,0,0,True
4,6,79.22864490274948,79.22864490274948,100.0,5,12,45,20,4,1,0,1,True
4,7,75.27587772348079,73.28384178607041,97.35368620379566,5,12,44,20,5,1,0,0,False
4,8,84.29656248155948,84.29656248155948,100.00000000000001,5,12,48,20,4,1,0,1,False
4,9,68.82144638260539,68.82144638260539,100.0,5,10,39,20,5,1,0,0,True
5,0,85.60321947059552,85.60321947059552,100.0,4,10,45,20,4,1,0,0,False
5,1,67.83055388555672,67.83055388555672,100.0,4,12,56,20,3,1,0,1,False
5,2,73.8082072976813,73.8082072976813,100.0,5,12,57,20,4,1,0,1,False
